site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
bibles.org	eng	72f4e6dc683324df-03	World English Bible Updated		https://api.bible/bibles/72f4e6dc683324df-03	world-english-bible-2020-updated	world-english-bible	27	260	7953	174753	true
bibles.org	eng	32664dc3288a28df-01	World English Bible, American English Edition, without Strong's Numbers		https://api.bible/bibles/32664dc3288a28df-01	world-english-bible-2020-american	world-english-bible	27	260	7953	174753	true
bibles.org	eng	32664dc3288a28df-02	World English Bible, American English Edition, without Strong's Numbers		https://api.bible/bibles/32664dc3288a28df-02	world-english-bible-2020-american	world-english-bible	27	260	7953	174753	true
bibles.org	eng	32664dc3288a28df-03	World English Bible, American English Edition, without Strong's Numbers		https://api.bible/bibles/32664dc3288a28df-03	world-english-bible-2020-american	world-english-bible	27	260	7953	174749	true
bibles.org	eng	f72b840c855f362c-04	World Messianic Bible		https://api.bible/bibles/f72b840c855f362c-04	world-english-bible-2020-messianic	world-english-bible	27	260	7953	178416	true
bibles.org	eng	04da588535d2f823-04	World Messianic Bible British Edition		https://api.bible/bibles/04da588535d2f823-04	world-english-bible-2020-messianic-british	world-english-bible	27	260	7953	178432	true
bibles.org	eng	7a29e1242c9ee60d-01	Young's Literal Translation 1898		https://api.bible/bibles/7a29e1242c9ee60d-01	youngs-literal-translation-1898	youngs-literal-translation	27	260	7957	186696	true
bibles.org	fra	a93a92589195411f-01	Bible J.N. Darby		https://api.bible/bibles/a93a92589195411f-01	fra-darby-translation-1885	fra-darby-translation	27	260	7954	186752	true
bibles.org	fra	c329f9f1debe32db-01	French Gospel of Matthew 1855 (de Sacy)		https://api.bible/bibles/c329f9f1debe32db-01	sacy-bible-1855	sacy-bible	1	28	1070	24199	true
bibles.org	fra	64138c65b3e295c2-01	Gospel of Matthew 1864 (Frainc-Comtois)		https://api.bible/bibles/64138c65b3e295c2-01	frainc-comtois-1864	frainc-comtois	1	28	1070	25577	true
bibles.org	fra	6f26e199139ea7f1-01	La Bible du Semeur (The Bible of the Sower)		https://api.bible/bibles/6f26e199139ea7f1-01	bible-du-semeur-2015	bible-du-semeur	27	260	7945	201079	false
bibles.org	fra	98ab666655da6ae4-01	New French current		https://api.bible/bibles/98ab666655da6ae4-01	bible-nouvelle-francais-courant-2019	bible-nouvelle-francais-courant	27	260	7944	201251	false
bibles.org	fra	a0eead58359eebd2-01	Parole de Vie 2017		https://api.bible/bibles/a0eead58359eebd2-01	parole-de-vie-2017	parole-de-vie	27	260	7924	209888	false
bibles.org	ita	41f25b97f468e10b-01	Diodati Bible 1885		https://api.bible/bibles/41f25b97f468e10b-01	diodati-bible-1885	diodati-bible	27	260	7957	168046	true
bibles.org	ita	547356f0e641742a-02	Italian Common Language Bible		https://api.bible/bibles/547356f0e641742a-02	interconfessionale-in-lingua-corrente-2014-3rd-edition	interconfessionale-in-lingua-corrente	27	260	7886	176811	false
bibles.org	ita	547356f0e641742a-01	Italian Common Language Interconfessional Bible		https://api.bible/bibles/547356f0e641742a-01	interconfessionale-in-lingua-corrente-2014-3rd-edition	interconfessionale-in-lingua-corrente	27	260	7886	176811	false
bibles.org	pol	fbb8b0e1943b417c-01	Biblica® Open Polish Living New Testament 2016		https://api.bible/bibles/fbb8b0e1943b417c-01	slowo-zycia-2016	slowo-zycia	27	260	7873	138325	true
bibles.org	pol	2e3185bcb90f9381-01	Polish Living New Testament (The Word of Life)		https://api.bible/bibles/2e3185bcb90f9381-01	slowo-zycia-2016	slowo-zycia	27	260	7873	138325	true
bibles.org	pol	1c9761e0230da6e0-01	Updated Gdansk Bible		https://api.bible/bibles/1c9761e0230da6e0-01	uwspolczesniona-biblia-gdanska-2017	uwspolczesniona-biblia-gdanska	27	260	7957	138326	true
bibles.org	spa	6b7f504f1b6050c1-01	Biblica® Open Nueva Biblia Viva 2008		https://api.bible/bibles/6b7f504f1b6050c1-01	nueva-biblia-viva-2008	nueva-biblia-viva	27	260	7880	174466	false
bibles.org	spa	0aaa4b88c30bcde2-01	Holy Bible: The Word of God for All		https://api.bible/bibles/0aaa4b88c30bcde2-01	palabra-de-dios-para-todos-2015	palabra-de-dios-para-todos	27	260	7928	185353	false
bibles.org	spa	e1592fe262f26754-01	New Living Bible		https://api.bible/bibles/e1592fe262f26754-01	nueva-biblia-viva-2008	nueva-biblia-viva	27	260	7880	174467	false
bibles.org	spa	abc55ec4a92a291d-01	Nueva Versión Internacional (Spanish New International Version) 2015		https://api.bible/bibles/abc55ec4a92a291d-01	nueva-version-internacional-2015	nueva-version-internacional	27	260	7929	181130	false
bibles.org	spa	01c25b8715dbb632-01	Nueva Versión Internacional 2022		https://api.bible/bibles/01c25b8715dbb632-01	nueva-version-internacional-2022	nueva-version-internacional	27	260	7940	169513	false
bibles.org	spa	592420522e16049f-01	Reina Valera 1909		https://api.bible/bibles/592420522e16049f-01	reina-valera-1909	reina-valera	27	260	7956	164216	true
bibles.org	spa	48acedcf8595c754-01	Spanish Bible, Palabla de Dios para ti		https://api.bible/bibles/48acedcf8595c754-01	palabra-de-dios-para-ti-2020	palabra-de-dios-para-ti	27	260	7936	154224	true
bibles.org	spa	48acedcf8595c754-02	Spanish NT + PP, Palabla de Dios para ti		https://api.bible/bibles/48acedcf8595c754-02	palabra-de-dios-para-ti-2020	palabra-de-dios-para-ti	27	260	7936	154224	true
bibles.org	spa	ff913c55498d2380-01	Spanish, Biblia Reina Valera 1960		https://api.bible/bibles/ff913c55498d2380-01	reina-valera-1960	reina-valera	27	260	7958	164930	false
